Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A01006	We should end the use of economic sanctions	against	['sometimes', 'economic', 'sanctions', 'are', 'the', 'only', 'thing', 'that', 'will', 'get', 'the', 'corrupt', 'governments', 'to', 'take', 'action']	0	1	0
A01018	We should end the use of economic sanctions	against	['economic', 'sanctions', 'provide', 'a', 'non-military', 'sanction', 'to', 'use', 'against', 'countries']	0	1	0
A05068	We should ban targeted killing	against	['targeted', 'killing', 'should', 'not', 'be', 'banned', 'because', 'it', 'means', 'that', 'dangerous', 'people', 'can', 'be', 'stopped', 'from', 'injuring', 'other', 'people']	0	1	0
A05095	We should abolish the three-strikes laws	against	['we', 'need', 'the', 'three', 'strikes', 'as', 'a', 'deterrent']	0	1	0
A07001	We should cancel pride parades	against	['pride', 'parades', 'allow', 'people', 'to', 'make', 'connections', 'and', 'widen', 'their', 'social', 'circles']	0	1	0
A07049	We should abolish the right to keep and bear arms	against	['the', 'right', 'to', 'keep', 'and', 'bear', 'arms', 'is', 'protected', 'by', 'our', 'government', 'and', 'should', 'be', 'like', 'that', 'so', 'people', 'can', 'defend', 'their', 'self']	0	1	0
A07053	We should ban algorithmic trading	against	['we', 'should', 'continue', 'to', 'support', 'algorithmic', 'trading', 'as', 'it', 'gives', 'orders', 'a', 'jump', 'start', 'rather', 'than', 'waiting', 'until', 'the', 'complete', 'order', 'has', 'been', 'produced']	1	1	1
A07067	We should limit judicial activism	against	['judicial', 'activism', 'allows', 'for', 'common', 'sense', 'to', 'be', 'applied', 'where', 'necessary']	1	1	0
A07097	We should ban whaling	against	['whaling', 'is', 'an', 'important', 'part', 'of', 'the', 'diet', 'tradition', 'and', 'economies', 'of', 'many', 'countries', 'and', 'it', 'is', 'not', 'our', 'place', 'to', 'dictate', 'terms', 'as', 'outsiders', 'to', 'their', 'culture']	0	1	1
A09026	We should abolish intellectual property rights	against	['intellectual', 'property', 'rights', 'enable', 'people', 'to', 'benefit', 'from', 'what', 'they', 'worked', 'so', 'hard', 'to', 'achieve']	1	1	1
A09045	We should end the use of economic sanctions	against	['economic', 'sanctions', 'can', 'be', 'very', 'effective', 'in', 'bringing', 'about', 'social', 'change']	0	1	0
A09070	We should fight for the abolition of nuclear weapons	against	['they', 'serve', 'as', 'a', 'deterant', 'for', 'any', 'rogue', 'dictator', 'to', 'strike', 'an', 'enemy']	0	1	0
A09077	We should legalize sex selection	against	['sex', 'selection', 'can', 'lead', 'to', 'an', 'over', 'abundance', 'of', 'a', 'favored', 'gender', 'in', 'society']	0	1	0
A09079	We should abolish intellectual property rights	against	['a', 'person', 'uses', 'his', 'imagination', 'and', 'hard', 'work', 'to', 'write', 'as', 'book', 'or', 'music', 'they', 'should', 'be', 'able', 'to', 'benefit', 'from', 'their', 'work', 'it', 'should', 'not', 'be', 'in', 'the', 'public', 'domain']	1	1	1
A09080	We should cancel pride parades	against	['pride', 'parades', 'are', 'a', 'platforms', 'for', 'minority', 'groups', 'to', 'spread', 'awareness', 'about', 'discrimination', 'and', 'abuse']	0	1	0
A09097	We should abolish the right to keep and bear arms	against	['people', 'have', 'a', 'right', 'to', 'be', 'able', 'to', 'defend', 'themselves', 'and', 'their', 'loved', 'ones']	0	1	0
A12010	We should adopt a multi-party system	against	['multi-party', 'systems', 'slow', 'down', 'what', 'gets', 'done', 'because', 'we', 'have', 'too', 'many', 'different', 'sides', 'trying', 'to', 'come', 'to', 'an', 'agreement']	1	1	0
A12049	We should limit executive compensation	against	['we', 'should', 'not', 'limit', 'executive', 'compensation', 'because', 'it', 'is', 'their', 'company', 'that', 'they', 'started', 'they', 'have', 'a', 'right', 'to', 'the', 'profits']	1	1	1
A12122	We should fight for the abolition of nuclear weapons	against	['nuclear', 'weapons', 'help', 'keep', 'peace', 'its', 'an', 'assurance', 'policy', 'everyone', 'knows', 'that', 'everyone', 'loses', 'if', 'nuclear', 'war', 'breaks', 'out', 'this', 'keeps', 'countries', 'in', 'line', 'so', 'as', 'not', 'to', 'provoke', 'a', 'nuclear', 'attack']	0	1	0
A12124	We should end the use of economic sanctions	against	['economic', 'sanctions', 'work', 'as', 'intended', 'and', 'getting', 'rid', 'of', 'them', 'would', 'make', 'it', 'more', 'difficult', 'to', 'punish', 'offending', 'countries']	0	1	0
A12167	We should ban private military companies	against	['the', 'state', 'can', 'not', 'have', 'exclusivity', 'in', 'the', 'creation', 'of', 'weapons', 'leaving', 'aside', 'private', 'capital', 'as', 'a', 'source', 'of', 'technological', 'innovations', 'for', 'our', 'defense']	0	1	0
A12216	We should limit judicial activism	against	['judicial', 'activism', 'can', 'highlight', 'wrong', 'legislation', 'or', 'deliver', 'accurate', 'justice', 'that', 'cannot', 'be', 'addressed', 'through', 'the', 'existing', 'laws']	1	1	0
A12224	We should ban factory farming	against	['factory', 'farming', 'is', 'necessary', 'in', 'our', 'society', 'as', 'a', 'way', 'to', 'control', 'and', 'protect', 'the', 'environment', 'in', 'which', 'the', 'animals', 'are', 'living', 'so', 'they', 'are', 'not', 'subjected', 'to', 'disease', 'and', 'predators']	0	1	0
A12249	We should ban private military companies	against	['private', 'military', 'companies', 'provide', 'additional', 'soldiers', 'in', 'places', 'where', 'it', 'is', 'necessary']	0	1	0
