Argument ID	Conclusion	Stance	Premise	Achievement	Power: dominance	Power: resources
A04016	We should limit executive compensation	against	['executives', 'deserve', 'the', 'money', 'as', 'they', 'do', 'a', 'stressful', 'and', 'demanding', 'job', 'leading', 'large', 'organizations', 'that', 'hire', 'large', 'number', 'of', 'people.']	1	0	0
A05027	We should ban whaling	against	['There', 'is', 'little', 'difference', 'between', 'the', 'whaling', 'industry', '', 'and', 'our', 'farming', 'industries;', 'humans', 'are', 'entitled', 'to', 'hunt', 'animals', 'to', 'eat', 'them', 'and', 'utilize', 'them', 'to', 'our', 'benefit.']	1	0	0
A05080	We should ban telemarketing	against	['We', 'should', 'not', 'ban', 'telemarketing', 'as', 'it', 'it', 'allows', 'people', 'to', 'learn', 'about', 'new', 'products', 'or', 'services', 'from', 'the', 'comfort', 'of', 'their', 'own', 'homes.']	1	0	0
A05098	We should limit executive compensation	against	['We', 'should', 'not', 'limit', 'executive', 'compensation', 'as', 'they', 'should', 'get', 'the', 'salary', 'equal', 'to', 'their', 'contribution', 'to', 'the', 'organisation.']	1	0	1
A06005	We should end mandatory retirement	against	['Mandatory', 'retirement', 'lets', 'companies', 'more', 'easily', 'make', 'space', 'for', 'new', 'workers', 'that', 'have', 'more', 'of', 'an', 'incentive', 'to', 'work', 'hard', 'at', 'a', 'new', 'job.']	1	0	0
A07019	We should end mandatory retirement	against	['Setting', 'a', 'mandatory', 'retirement', 'age', 'allows', 'for', 'the', 'younger', 'generations', 'to', 'move', 'up', 'the', 'ladder', 'and', 'to', 'better', 'support', 'their', 'own', 'families.']	1	0	1
A07031	We should abolish intellectual property rights	against	['we', 'cannot', 'abolish', 'intellectual', 'property', 'rights', 'because', 'artists', 'and', 'scientists', 'need', 'to', 'have', 'their', 'ideas', 'and', 'innovations', 'protected', 'so', 'that', 'they', 'can', 'earn', 'a', 'living', 'in', 'their', 'fields']	1	0	1
A07053	We should ban algorithmic trading	against	['we', 'should', 'continue', 'to', 'support', 'algorithmic', 'trading', 'as', 'it', 'gives', 'orders', 'a', 'jump', 'start', 'rather', 'than', 'waiting', 'until', 'the', 'complete', 'order', 'has', 'been', 'produced.']	1	1	1
A07066	We should ban the use of child actors	against	['not', 'all', 'tv', 'and', 'movies', 'is', 'going', 'to', 'be', 'adults', 'only', 'we', 'need', 'child', 'actors', 'to', 'shows', 'the', 'world', 'as', 'it', 'is']	1	0	0
A07067	We should limit judicial activism	against	['judicial', 'activism', 'allows', 'for', 'common', 'sense', 'to', 'be', 'applied', 'where', 'necessary']	1	1	0
A07068	We should limit executive compensation	against	['executives', 'provide', 'profits', 'to', 'shareholders', 'and', 'should', 'be', 'compensated', 'accordingly']	1	0	1
A07073	We should ban the use of child actors	against	['we', 'should', 'not', 'ban', 'the', 'use', 'of', 'child', 'actors', 'because', 'we', 'would', 'not', 'have', 'the', 'shows', 'and', 'movies', 'that', 'are', 'otherwise', 'available.']	1	0	0
A07075	We should ban cosmetic surgery for minors	against	"['We', 'should', 'not', 'ban', 'cosmetic', 'surgery', 'for', 'minors', 'because', 'there', 'are', 'legitimate', 'cases', 'when', 'it', 'would', 'improve', 'a', 'young', ""person's"", 'mental', 'health.']"	1	0	0
A07089	We should ban telemarketing	against	['banning', 'telemarketing', 'has', 'no', 'approval', 'anywhere', 'as', 'customers', 'will', 'not', 'be', 'able', 'to', 'see', 'new', 'products', 'available', 'to', 'buy.']	1	0	0
A07095	We should oppose collectivism	against	['supporting', 'collectivism', 'is', 'important', 'because', 'groups', 'value', 'is', 'most', 'important', 'in', 'the', 'society', 'which', 'we', 'live', 'today.']	1	0	0
A09003	We should ban the use of child actors	against	['we', 'must', 'not', 'prohibit', 'the', 'use', 'of', 'child', 'actors', 'because', 'it', 'goes', 'against', 'the', 'right', 'to', 'work.', 'children', 'under', 'the', 'supervision', 'of', 'their', 'parents', 'can', 'develop', 'their', 'artistic', 'talent', 'without', 'affecting', 'their', 'personal', 'growth']	1	0	0
A09006	We should abolish the right to keep and bear arms	against	"['we', ""shouldn't"", 'abolish', 'the', 'right', 'to', 'keep', 'and', 'bear', 'arms', 'because', 'it', 'can', 'help', 'stop', 'mass', 'shootings', 'if', 'everyone', 'has', 'a', 'gun']"	1	0	0
